Episode,User_Mean,User_Density,User_WordCount,Asst_Mean,Asst_Density,Asst_WordCount,Overall_Mean,StandardDeviation,Density,WordCount
DM_20250314-123247_Interview,-0.0707,-0.047,1187,-0.1328,-0.0937,1409,-0.1053,0.6617188429681385,-0.0723,2596
DM_20250314-125859_Interview,-0.0764,-0.0509,1748,-0.1377,-0.0988,2026,-0.1104,0.6712553151052016,-0.0766,3774
DM_20250314-133750_Interview,-0.0745,-0.0461,982,-0.1331,-0.0942,1237,-0.1091,0.6862368547241062,-0.0729,2219
DM_20250314-140141_Interview,-0.0034,-0.0022,1290,-0.1202,-0.0837,1319,-0.0646,0.6760959193774889,-0.0434,2609
DM_20250314-142822_Interview,-0.0837,-0.0523,1239,-0.119,-0.0844,1431,-0.1037,0.6568949863602218,-0.0695,2670
DM_20250314-145625_Interview,-0.1179,-0.0744,975,-0.158,-0.1146,1246,-0.1418,0.6303277306199878,-0.097,2221
DM_20250425-171549_Interview,-0.1036,-0.0666,1096,-0.1555,-0.1103,1483,-0.1346,0.7158572881678743,-0.0917,2579
DM_20250425-174256_Interview,-0.0832,-0.0528,1073,-0.1586,-0.1139,1287,-0.1266,0.6968703324081496,-0.0861,2360
DM_20250425-180816_Interview,-0.1233,-0.0756,1117,-0.1445,-0.1006,1230,-0.1351,0.6242097938934631,-0.0887,2347
DM_20250425-183356_Interview,-0.1063,-0.0659,1079,-0.1184,-0.081,1321,-0.1133,0.7000785595812863,-0.0742,2400
DM_20250425-185948_Interview,-0.0537,-0.0335,1049,-0.2155,-0.1514,1257,-0.1468,0.7904947895945638,-0.0977,2306
DM_20250425-192409_Interview,-0.1065,-0.0655,1043,-0.1682,-0.118,1367,-0.1435,0.7266099202702554,-0.0953,2410
DM_20250425-194845_Interview,-0.0695,-0.0439,1218,-0.1358,-0.096,1235,-0.1048,0.6625095210108772,-0.0701,2453
DM_20250425-201459_Interview,-0.079,-0.0499,1044,-0.0985,-0.0697,787,-0.0879,0.6947950869156951,-0.0584,1831
DM_20250425-203858_Interview,-0.0384,-0.0209,92,-0.1378,-0.0967,144,-0.1049,0.44968561988670686,-0.0671,236
DM_20250425-204153_Interview,-0.0485,-0.0298,1178,-0.0524,-0.0356,904,-0.0503,0.657984895511146,-0.0323,2082
DM_20250425-211126_Interview,-0.0985,-0.0623,892,-0.1838,-0.128,1377,-0.1522,0.6876496578587629,-0.1022,2269
DM_20250425-213754_Interview,-0.074,-0.0474,1473,-0.1441,-0.1004,1522,-0.1111,0.6590926134132313,-0.0743,2995
DM_20250425-220909_Interview,-0.1392,-0.0881,370,-0.1368,-0.099,358,-0.138,0.6469968629867703,-0.0934,728
DM_20250425-222213_Interview,-0.0238,-0.0155,1335,-0.1414,-0.1,1585,-0.09,0.7355991995612373,-0.0614,2920
DM_20250425-225043_Interview,-0.1798,-0.1193,2561,-0.2172,-0.1494,2986,-0.2003,0.6838128125153535,-0.1355,5547
DM_20250426-015117_Interview,-0.0836,-0.053,1142,-0.1293,-0.0933,1340,-0.1098,0.6536281517492863,-0.0748,2482
DM_20250426-021712_Interview,-0.1017,-0.0623,990,-0.1301,-0.0907,1261,-0.1185,0.667003912357534,-0.0782,2251
DM_20250426-024233_Interview,-0.0112,-0.007,777,-0.0917,-0.0634,943,-0.0575,0.6839710157395332,-0.0379,1720
DM_20250426-031055_Interview,-0.0699,-0.0439,973,-0.1424,-0.1,1404,-0.1147,0.7199971103582106,-0.077,2377
DM_20250426-033515_Interview,-0.1072,-0.0658,1064,-0.1268,-0.0918,1457,-0.1193,0.7037591446139467,-0.0808,2521
DM_20250426-040206_Interview,-0.0829,-0.0461,302,-0.1175,-0.0841,521,-0.1068,0.5537733176876272,-0.0702,823
DM_20250426-041435_Interview,-0.1322,-0.0848,1618,-0.1253,-0.0883,1797,-0.1284,0.66435343566459,-0.0866,3415
DM_20250426-044926_Interview,-0.0681,-0.0428,1067,-0.1275,-0.0899,1225,-0.1015,0.6227809600481793,-0.068,2292
DM_20250426-051418_Interview,-0.1048,-0.0683,1127,-0.137,-0.0948,1265,-0.1223,0.73249407619197,-0.0823,2392
DM_20250426-054045_Interview,-0.0971,-0.0661,3238,-0.1359,-0.0984,3259,-0.1172,0.6508271016662984,-0.0823,6497
DM_20250426-065703_Interview,-0.0491,-0.0314,1310,-0.1401,-0.0993,1672,-0.1024,0.6731244154502601,-0.0695,2982
DM_20250426-072813_Interview,-0.0909,-0.0578,1121,-0.1437,-0.1041,1242,-0.1204,0.641627501570834,-0.0822,2363
DM_20250426-075428_Interview,-0.0418,-0.027,341,-0.0698,-0.0489,331,-0.0562,0.6827780978982314,-0.0378,672
DM_20250426-080834_Interview,-0.0009,-0.0006,536,-0.0614,-0.043,448,-0.0297,0.6658636463637366,-0.0199,984
DM_20250426-082857_Interview,-0.0433,-0.0271,1468,-0.1327,-0.0921,1435,-0.0898,0.6945123745973891,-0.0592,2903
DM_20250426-085818_Interview,-0.266,-0.1667,67,-0.1983,-0.1409,145,-0.2179,0.7094284637725836,-0.1491,212
DM_20250426-090112_Interview,-0.1067,-0.0677,1045,-0.1285,-0.0902,1308,-0.1194,0.6368727393474997,-0.0802,2353
DM_20250426-092820_Interview,-0.046,-0.0306,843,-0.132,-0.0922,646,-0.0843,0.717791977749083,-0.0573,1489
DM_20250426-100032_Interview,-0.0602,-0.0387,1004,-0.1225,-0.0851,949,-0.0917,0.7307951241925094,-0.0612,1953
DM_20250426-102610_Interview,-0.1314,-0.0839,1234,-0.1592,-0.116,1774,-0.1487,0.6934469642377614,-0.1028,3008
DM_20250426-110108_Interview,-0.0602,-0.0377,968,-0.1607,-0.1126,1256,-0.1197,0.7102653683801695,-0.08,2224
DM_20250426-112538_Interview,-0.0916,-0.0574,978,-0.1491,-0.1034,1291,-0.1257,0.6399787876780576,-0.0836,2269
DM_20250426-115019_Interview,-0.0454,-0.0286,1160,-0.1579,-0.1097,1413,-0.1098,0.6974427227952837,-0.0732,2573
DM_20250426-121559_Interview,-0.1008,-0.0636,1309,-0.1153,-0.0793,1239,-0.1082,0.6091034071572764,-0.0712,2548
DM_20250426-124359_Interview,-0.0578,-0.0384,1537,-0.1452,-0.1038,1644,-0.1045,0.7194221738986377,-0.0722,3181
DM_20250426-131249_Interview,-0.1131,-0.0671,846,-0.1327,-0.0916,1140,-0.1251,0.686618221490301,-0.0812,1986
DM_20250426-133603_Interview,-0.0934,-0.0596,875,-0.1595,-0.1133,1198,-0.1333,0.6783264286923423,-0.0906,2073
DM_20250426-140057_Interview,-0.1102,-0.0654,829,-0.149,-0.104,1281,-0.1353,0.7062799050854,-0.0888,2110
DM_20250426-142528_Interview,0.0125,0.0084,3047,-0.0369,-0.0256,2911,-0.012,0.7333982513482548,-0.0082,5958
DM_20250426-155200_Interview,-0.091,-0.0585,934,-0.1289,-0.092,1140,-0.1128,0.7150269753316597,-0.0769,2074
DM_20250426-161454_Interview,-0.1448,-0.091,1069,-0.1413,-0.1005,1205,-0.1429,0.6574851989070951,-0.0961,2274
DM_20250426-164126_Interview,0.0125,0.0078,1097,-0.1209,-0.0839,1333,-0.0643,0.6987782379245989,-0.0425,2430
DM_20250426-170932_Interview,-0.0882,-0.0571,1483,-0.186,-0.1322,1693,-0.1426,0.732693800224048,-0.0971,3176
DM_20250426-174355_Interview,-0.11,-0.0659,790,-0.1302,-0.0906,1217,-0.1229,0.651894395708892,-0.0809,2007
DM_20250426-180656_Interview,-0.0967,-0.0621,1196,-0.1594,-0.1119,1574,-0.1337,0.7097859843895431,-0.0904,2770
DM_20250426-183445_Interview,-0.1407,-0.0893,1710,-0.1529,-0.1092,1820,-0.1473,0.6830041057202866,-0.0995,3530
DM_20250426-191205_Interview,-0.0411,-0.0254,312,-0.098,-0.0661,411,-0.0746,0.6150616460005386,-0.0485,723
DM_20250426-192303_Interview,-0.0673,-0.0438,2427,-0.1276,-0.0891,2923,-0.1013,0.6183675878665672,-0.0685,5350
DM_20250426-204110_Interview,-0.0942,-0.0621,1820,-0.1779,-0.126,2611,-0.145,0.6676308199542854,-0.0997,4431
DM_20250426-215913_Interview,-0.0618,-0.037,1211,-0.1533,-0.1064,1601,-0.1171,0.6476878396153148,-0.0765,2812
DM_20250426-223017_Interview,-0.0983,-0.0642,933,-0.1725,-0.1186,1120,-0.1398,0.7407409726030788,-0.0939,2053
DM_20250426-225436_Interview,-0.0538,-0.0349,1315,-0.1296,-0.0911,1619,-0.0972,0.6692679058499962,-0.0659,2934
DM_20250426-232536_Interview,-0.0713,-0.0487,2672,-0.0891,-0.0635,3066,-0.081,0.548964504703477,-0.0566,5738
DM_20250427-045715_Interview,-0.0476,-0.0298,1388,-0.1377,-0.0963,1531,-0.0973,0.6507521238506968,-0.0647,2919
DM_20250427-052809_Interview,-0.1302,-0.0805,1276,-0.1655,-0.1182,1530,-0.1507,0.6626820611590714,-0.1011,2806
DM_20250427-055904_Interview,-0.1315,-0.0832,1576,-0.1433,-0.0991,1629,-0.1377,0.6756311427292969,-0.0913,3205
DM_20250427-063510_Interview,-0.1166,-0.0752,1197,-0.1733,-0.124,1342,-0.148,0.7063263872105527,-0.101,2539
DM_20250427-070336_Interview,-0.0566,-0.0357,1247,-0.1254,-0.0899,1566,-0.097,0.7200484271199957,-0.0659,2813
DM_20250427-073238_Interview,-0.0943,-0.0599,1410,-0.1467,-0.0999,1542,-0.1226,0.734908152812828,-0.0808,2952
DM_20250427-080037_Interview,-0.0567,-0.0358,1431,-0.1549,-0.1095,1606,-0.1114,0.6682627672413423,-0.0747,3037
DM_20250427-083016_Interview,-0.0242,-0.0152,1051,-0.1263,-0.0893,1220,-0.082,0.6088664529038444,-0.055,2271
DM_20250427-085605_Interview,-0.0309,-0.0161,67,-0.2042,-0.148,127,-0.1565,0.5664628871114953,-0.1024,194
DM_20250427-085854_Interview,-0.0747,-0.048,1126,-0.1067,-0.0738,1001,-0.0904,0.6791825217100279,-0.0601,2127
DM_20250427-092438_Interview,0.0449,0.0278,534,-0.1334,-0.0914,1389,-0.0874,0.6472378700965093,-0.0583,1923
DM_20250427-095421_Interview,-0.0859,-0.0523,884,-0.1356,-0.0944,1232,-0.1164,0.6592040258718911,-0.0768,2116
DM_20250427-101833_Interview,-0.1689,-0.1084,1374,-0.1774,-0.1278,1554,-0.1736,0.6498191526653999,-0.1187,2928
DM_20250427-105006_Interview,0.0182,0.0111,562,-0.1625,-0.1102,743,-0.0894,0.7202516855396816,-0.058,1305
DM_20250427-110824_Interview,-0.0573,-0.0295,64,-0.2198,-0.1573,176,-0.186,0.5875523341817613,-0.1232,240
DM_20250427-111116_Interview,-0.1043,-0.0638,1140,-0.1473,-0.1024,1334,-0.1288,0.7184338732012435,-0.0846,2474
DM_20250427-113824_Interview,-0.014,-0.0089,1122,-0.1483,-0.1051,1329,-0.0904,0.7881064694888419,-0.0611,2451
DM_20250427-120522_Interview,-0.1289,-0.0827,1036,-0.1331,-0.0911,1295,-0.1313,0.6815770624280791,-0.0874,2331
DM_20250427-123219_Interview,0.0082,0.0051,899,-0.1118,-0.0777,1420,-0.0681,0.6169475210033156,-0.0456,2319
DM_20250427-125714_Interview,-0.0669,-0.043,1075,-0.1467,-0.1049,1335,-0.1132,0.7063204076448383,-0.0773,2410
DM_20250427-132321_Interview,-0.0604,-0.0388,171,-0.1996,-0.1429,222,-0.1426,0.7259302473129384,-0.0976,393
DM_20250427-132719_Interview,-0.0485,-0.0303,1030,-0.1301,-0.0891,1242,-0.095,0.6438171604951806,-0.0624,2272
DM_20250427-135312_Interview,0.0247,0.0153,1454,-0.1354,-0.094,1403,-0.0585,0.7204734703791775,-0.0384,2857
DM_20250427-142047_Interview,-0.0503,-0.0316,982,-0.1378,-0.0968,1265,-0.1019,0.7010081775428312,-0.0683,2247
DM_20250427-144510_Interview,-0.1246,-0.0807,928,-0.1567,-0.1114,1281,-0.144,0.6814702324202981,-0.0985,2209
DM_20250427-150925_Interview,0.014,0.0093,1384,-0.1528,-0.1092,1493,-0.0754,0.7319122889298634,-0.0522,2877
DM_20250427-153721_Interview,-0.112,-0.0731,1175,-0.1946,-0.1364,1551,-0.1605,0.776294073428164,-0.1091,2726
DM_20250427-160614_Interview,-0.0768,-0.0474,963,-0.1351,-0.092,1145,-0.1099,0.6641182215454537,-0.0716,2108
DM_20250427-163123_Interview,-0.0388,-0.0242,1280,-0.1263,-0.0926,1547,-0.0902,0.7105703106953747,-0.0616,2827
DM_20250427-170136_Interview,-0.0107,-0.0064,743,-0.1111,-0.0783,1158,-0.0755,0.6692145995542478,-0.0502,1901
DM_20250427-172402_Interview,-0.0442,-0.0277,1140,-0.1566,-0.1097,1279,-0.1068,0.7165608576576932,-0.0711,2419
DM_20250427-175121_Interview,-0.0177,-0.0107,695,-0.137,-0.0956,801,-0.0857,0.7413038134481248,-0.0562,1496
DM_20250427-181342_Interview,-0.0839,-0.0524,1364,-0.1069,-0.0728,1558,-0.0967,0.6090520912763744,-0.0633,2922
DM_20250427-184530_Interview,-0.1151,-0.0726,913,-0.1406,-0.1019,1247,-0.1307,0.6608083084496241,-0.0895,2160
DM_20250427-190932_Interview,-0.0735,-0.0464,1328,-0.1277,-0.0935,1524,-0.1044,0.6841697026328039,-0.0715,2852
DM_20250427-193724_Interview,0.0211,0.0134,1039,-0.1308,-0.0926,1271,-0.0665,0.7240783142821089,-0.0449,2310
DM_20250427-200206_Interview,-0.1256,-0.0808,1454,-0.1575,-0.1129,1573,-0.1431,0.7015105583910213,-0.0975,3027
DM_20250427-203136_Interview,-0.1144,-0.0746,1847,-0.1387,-0.0982,2103,-0.1278,0.7155954030691238,-0.0871,3950
DM_20250427-211417_Interview,-0.067,-0.0432,1409,-0.1421,-0.1024,1773,-0.1109,0.7264098116992831,-0.0762,3182
DM_20250427-214525_Interview,-0.0581,-0.0389,1422,-0.1403,-0.0973,1193,-0.0964,0.7304087742072093,-0.0655,2615
DM_20250427-221558_Interview,-0.1145,-0.0734,1434,-0.1619,-0.1146,1534,-0.1401,0.6938315534611228,-0.0947,2968
DM_20250427-224455_Interview,-0.0819,-0.0521,896,-0.1689,-0.1192,1105,-0.1322,0.6976165523234963,-0.0892,2001
DM_20250427-231043_Interview,-0.1258,-0.0756,874,-0.1325,-0.0904,1142,-0.1298,0.6462194416556213,-0.0839,2016
DM_20250427-233442_Interview,-0.0107,-0.007,1061,-0.1422,-0.0983,1162,-0.0813,0.7009932800376298,-0.0547,2223
DM_20250427-235930_Interview,-0.0849,-0.0534,1225,-0.1803,-0.1262,1314,-0.1368,0.7378520833606473,-0.0911,2539
DM_20250428-002857_Interview,-0.0849,-0.0528,1084,-0.1949,-0.1341,1188,-0.1452,0.7862676371623197,-0.0953,2272
DM_20250428-005326_Interview,-0.1303,-0.0818,1697,-0.1511,-0.108,1697,-0.1414,0.6782346169155457,-0.0949,3394
DM_20250428-012836_Interview,-0.099,-0.0651,1570,-0.1486,-0.1082,1911,-0.1275,0.7039200408212007,-0.0887,3481
DM_20250428-020343_Interview,-0.047,-0.0294,987,-0.1477,-0.1023,908,-0.0978,0.6903231840396082,-0.0643,1895
DM_20250428-022805_Interview,-0.0902,-0.0561,982,-0.1538,-0.1064,1165,-0.1264,0.6164704094780172,-0.0834,2147
DM_20250428-025056_Interview,-0.127,-0.0773,937,-0.1312,-0.0918,1269,-0.1296,0.645658938913613,-0.0856,2206
DM_20250428-031608_Interview,-0.0469,-0.0297,1505,-0.1486,-0.1039,1458,-0.0995,0.6681760683580296,-0.0662,2963
DM_20250428-034634_Interview,-0.0414,-0.0254,1139,-0.1149,-0.0777,1371,-0.0833,0.7025886726207846,-0.0539,2510
DM_20250428-041223_Interview,-0.1763,-0.1141,2020,-0.1549,-0.108,2338,-0.1644,0.7135815556712888,-0.1108,4358
