Episode,MeanAnxiety,Density,WordCount,AnxietyHits,StandardDeviation
DM_20250425-213754_Interview,-0.0975,-0.0669,3714,2550,0.6861848453006831
DM_20250425-220909_Interview,-0.1248,-0.0854,2173,1486,0.6877253327408079
DM_20250425-222213_Interview,-0.0765,-0.0538,3504,2461,0.7365655589567943
DM_20250425-225043_Interview,-0.2338,-0.1658,94840,67256,0.7798432825526445
DM_20250426-015117_Interview,-0.1044,-0.0726,3132,2179,0.6714732050436325
DM_20250426-021712_Interview,-0.115,-0.0776,2747,1855,0.6788756533413419
DM_20250426-024233_Interview,-0.104,-0.0716,6581,4535,0.7661044152834725
DM_20250426-031055_Interview,-0.1101,-0.0756,3060,2101,0.7571819247211984
DM_20250426-033515_Interview,-0.1135,-0.0793,3257,2277,0.7333488922388434
DM_20250426-040206_Interview,-0.0919,-0.0624,1126,765,0.5479363524286701
DM_20250426-041435_Interview,-0.12,-0.0831,4167,2886,0.673858107236355
DM_20250426-044926_Interview,-0.0946,-0.0647,2765,1891,0.62803554862124
DM_20250426-051418_Interview,-0.1028,-0.0719,3127,2188,0.7337168338163281
DM_20250426-054045_Interview,-0.0896,-0.0653,14877,10848,0.6560371741114546
DM_20250426-065703_Interview,-0.0892,-0.0615,3382,2331,0.6726924533486446
DM_20250426-072813_Interview,-0.1083,-0.075,2885,1998,0.6421372764597342
DM_20250426-075428_Interview,-0.0864,-0.0592,2855,1957,0.7186210261635451
DM_20250426-080834_Interview,-0.1315,-0.0929,6607,4667,0.7753861757318509
DM_20250426-082857_Interview,-0.0889,-0.0603,3582,2432,0.7105089051137963
DM_20250426-085818_Interview,-0.1873,-0.1314,355,249,0.6323475940693956
DM_20250426-090112_Interview,-0.1131,-0.0783,2905,2010,0.6607923826992034
DM_20250426-092820_Interview,-0.1127,-0.0818,9700,7037,0.7190144719228682
DM_20250426-100032_Interview,-0.1133,-0.079,5229,3648,0.7297590389071679
DM_20250426-102610_Interview,-0.1364,-0.0965,4751,3361,0.7216760150532674
DM_20250426-110108_Interview,-0.1028,-0.0711,2798,1937,0.7069744830824883
DM_20250426-112538_Interview,-0.1162,-0.0797,2998,2056,0.6575361014503599
DM_20250426-115019_Interview,-0.1045,-0.0718,3268,2244,0.7309819149376562
DM_20250426-121559_Interview,-0.0984,-0.0667,3099,2101,0.60693448508633
DM_20250426-124359_Interview,-0.0905,-0.0637,3730,2626,0.7252334970391107
DM_20250426-131249_Interview,-0.1234,-0.0832,2650,1787,0.7133168620783815
DM_20250426-133603_Interview,-0.1183,-0.0827,2690,1881,0.687874730112109
DM_20250426-140057_Interview,-0.1299,-0.0883,3055,2076,0.7419987908560065
DM_20250426-142528_Interview,-0.0477,-0.0325,28312,19317,0.7738230021536162
DM_20250426-155200_Interview,-0.0994,-0.0692,2688,1872,0.7384242977440798
DM_20250426-161454_Interview,-0.1573,-0.108,4418,3035,0.7054712284470307
DM_20250426-164126_Interview,-0.0596,-0.041,3511,2414,0.7034254646109719
DM_20250426-170932_Interview,-0.1428,-0.0999,4111,2876,0.7569795383650048
DM_20250426-174355_Interview,-0.1083,-0.0735,2510,1703,0.6673452075048781
DM_20250426-180656_Interview,-0.1343,-0.0941,3700,2593,0.7401921160594653
DM_20250426-183445_Interview,-0.1494,-0.1031,4312,2976,0.6991304196091979
DM_20250426-191205_Interview,-0.0891,-0.0598,2017,1353,0.7155374441606098
DM_20250426-192303_Interview,-0.0909,-0.0625,20522,14108,0.5935728342105563
DM_20250426-204110_Interview,-0.2246,-0.1626,20398,14771,0.8422780425489451
DM_20250426-215913_Interview,-0.1086,-0.0731,3588,2415,0.6660715364134235
DM_20250426-223017_Interview,-0.1198,-0.0829,2467,1707,0.7336468145087571
DM_20250426-225436_Interview,-0.0886,-0.0614,3732,2588,0.693476965990147
DM_20250426-232536_Interview,-0.0987,-0.0698,183497,129637,0.5545778757440094
DM_20250427-045715_Interview,-0.0955,-0.0652,3683,2514,0.6819009452208241
DM_20250427-052809_Interview,-0.142,-0.0984,3803,2636,0.6788938888614258
DM_20250427-055904_Interview,-0.1329,-0.091,4127,2827,0.6834659777326283
DM_20250427-063510_Interview,-0.1348,-0.0945,3195,2240,0.7007959910240492
DM_20250427-070336_Interview,-0.0958,-0.0668,3726,2597,0.7312564321686327
DM_20250427-073238_Interview,-0.1161,-0.0783,3874,2613,0.7564701925854178
DM_20250427-080037_Interview,-0.1119,-0.0772,3736,2577,0.6858838136757703
DM_20250427-083016_Interview,-0.0827,-0.0578,2900,2025,0.6395294443295371
DM_20250427-085605_Interview,-0.1412,-0.0973,309,213,0.5146929961889719
DM_20250427-085854_Interview,-0.1052,-0.0719,4365,2984,0.6819354579370954
DM_20250427-092438_Interview,-0.1473,-0.0979,8022,5330,0.7327515313591345
DM_20250427-095421_Interview,-0.1069,-0.0724,2771,1878,0.678654309158204
